Methods,"Camera
Ctrl","Object
Ctrl","Content
Align","3D
Consist","Photo
Consist","Style
Consist","Subjective
Qual","Motion
Acc","Motion
Mag","Motion
Smooth",Average
"ABot-World (Jiang et al.,2026)",92.47,84.23,76.94,80.60,83.56,83.22,39.95,50.33,26.89,74.21,69.24
"Matrix-Game 3.0 (Wang et al.,2026e)",96.72,84.61,83.12,81.10,86.96,83.42,59.04,60.79,24.75,81.50,74.20
"LingBot-World (Robbyant Team et al.,2026)",90.50,87.73,75.29,86.28,90.03,85.39,65.71,59.48,27.93,79.60,74.79
**Ours**,**98.91**,**92.25**,**98.44**,**88.65**,**91.10**,**89.40**,**69.08**,**82.76**,**84.92**,**83.31**,**87.88**
